"Wiretap Table A-1. United States District Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
NEW JERSEY,2014-75079,SALAS,O'NEIL,NARCOTICS,WC,D,41856.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,26566.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75081,MCNULTY,O'BRIEN,NARCOTICS,WC,D,41822.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,0.0,0,0,0,27241.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75085,LINARES,BLANCO,NARCOTICS,WC,D,41695.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,20.0,18,541,265,31688.0,1750.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2014-75087,CECCHI,O'BRIEN,NARCOTICS,WC,D,41836.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,0.0,0,0,0,27095.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75089,SALAS,BITKOWER,NARCOTICS,WC,D,41775.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,3.0,42,182,151,55282.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75091,SALAS,O'BRIEN,NARCOTICS,WC,D,41780.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,0.0,0,0,0,81900.0,3900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75093,WIGENTON,BITKOWER,NARCOTICS,WC,D,41851.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,23671.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2014-75104,HOCHBERG,BLANCO,NARCOTICS,WC,D,41731.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,196.0,18,"5,865","2,484",30563.0,625.0,15.0,1.0,0.0,0.0,1.0,15.0,,
NEW JERSEY,2014-75110,CECCHI,O'BRIEN,NARCOTICS,WC,D,41884.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,26445.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2015-75033,CHESLER,BLANCO,NARCOTICS,EO,O,41893.0,30.0,3.0,120.0,INSTALLED AND USED,114.0,9.0,92,"1,053",295,106367.0,2800.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2015-75041,CHESLER,BLANCO,NARCOTICS,EO,O,41862.0,30.0,4.0,150.0,INSTALLED AND USED,142.0,88.0,"1,642","12,566","1,130",194364.0,18000.0,6.0,1.0,0.0,1.0,0.0,0.0,,
NEW JERSEY,2015-75045,SALAS,SUH,NARCOTICS,TX,D,42311.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,29074.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2015-75049,SALAS,O'BRIEN,NARCOTICS,TX,D,42307.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0.0,0,0,0,14412.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2015-75054,WIGENTON,O'BRIEN,NARCOTICS,WC,D,41968.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,56937.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2015-75055,MCNULTY,BLANCO,NARCOTICS,AP,D,41978.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,62.0,32,"1,864","1,015",26428.0,0.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2015-75057,SALAS,O'BRIEN,NARCOTICS,AP,D,42227.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,83.0,28,"2,408",288,28080.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2015-75058,MCNULTY,BLANCO,NARCOTICS,WC,D,41990.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,0.0,0,0,0,85262.0,5250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75027,MCNULTY,BLANCO,NARCOTICS,WC,D,42360.0,30.0,2.0,90.0,INSTALLED AND USED,71.0,0.0,0,0,0,88749.0,6000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75029,SALAS,DOWNING,NARCOTICS,WC,D,42661.0,30.0,2.0,90.0,INSTALLED AND USED,72.0,0.0,0,0,0,48863.0,5875.0,7.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75031,SALAS,O'BRIEN,NARCOTICS,WC,D,42404.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,29734.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75035,WIGENTON,BLANCO,NARCOTICS,WC,D,42374.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,29734.0,2500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75037,SALAS,DOWNING,NARCOTICS,TX,D,42327.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,0.0,0,0,0,90249.0,7500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75043,SALAS,BLANCO,NARCOTICS,WC,D,42418.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,68165.0,4500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75051,WIGENTON,SUH,NARCOTICS,WC,D,42683.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,20603.0,625.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2016-75060,CECCHI,O'BRIEN,NARCOTICS,TX,D,42524.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,47.0,2,"1,175",394,14617.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75061,CECCHI,BLANCO,NARCOTICS,TX,D,42495.0,30.0,1.0,60.0,INSTALLED AND USED,54.0,87.0,11,"4,695","2,138",45851.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75063,MCNULTY,O'BRIEN,NARCOTICS,TX,D,42437.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0.0,0,0,0,21109.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2016-75065,CECCHI,DOWNING,NARCOTICS,TX,D,42489.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,73397.0,6500.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2017-75062,LINARES,CHEUNG,NARCOTICS,WC,D,42709.0,30.0,2.0,90.0,INSTALLED AND USED,72.0,0.0,0,0,0,70888.0,5100.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75069,ARLEO,MCFADDEN,NARCOTICS,WC,D,42831.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,0.0,0,0,0,32570.0,2325.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75071,MCNULTY,MCFADDEN,NARCOTICS,WC,D,42860.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,0.0,0,0,0,32362.0,2325.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75073,MCNULTY,HULSER,NARCOTICS,WC,D,42858.0,30.0,1.0,60.0,INSTALLED AND USED,35.0,0.0,0,0,0,17445.0,3200.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75075,SALAS,HULSER,NARCOTICS,WC,D,42900.0,30.0,1.0,60.0,INSTALLED AND USED,45.0,0.0,0,0,0,36571.0,3500.0,4.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2017-75077,MCNULTY,RYBICKI,NARCOTICS,WC,D,42933.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,0.0,0,0,0,12500.0,3350.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75083,ARLEO,MCFADDEN,NARCOTICS,WC,D,42832.0,30.0,2.0,90.0,INSTALLED AND USED,60.0,0.0,0,0,0,40767.0,3900.0,10.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2017-75100,CECCHI,CHEUNG,NARCOTICS,WC,D,42739.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,0.0,0,0,0,27061.0,1300.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75106,SALAS,AHMAD,NARCOTICS,WC,D,42801.0,30.0,2.0,90.0,INSTALLED AND USED,75.0,0.0,0,0,0,27843.0,1700.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2017-75108,VAZQUEZ,AHMAD,NARCOTICS,WC,D,42789.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,9.0,70,275,33,17948.0,1600.0,2.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2017-75112,VAZQUEZ,DOWNING,NARCOTICS,WC,D,42768.0,30.0,3.0,120.0,INSTALLED AND USED,105.0,0.0,0,0,0,127911.0,21076.0,0,0,0.0,0.0,0.0,0,,
NEW JERSEY,2018-69093,CLARK,HEATHER HAUSELBEN,MURDER,"TX,WS",D,43391.0,20.0,1.0,50.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69107,COX ARLEO,HULSER,DRUGS - ILLEGAL,WC,D,43182.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69137,ARLEO,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43402.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69146,MARTINOTTI,HULSER,DRUGS - ILLEGAL,"AP,TX,WC",D,43300.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69202,COX ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43389.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69244,ARLEO,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43402.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69252,CECCHI,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43230.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69257,WOLFSON,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43318.0,30.0,2.0,90.0,INSTALLED AND USED,80.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2018-72115
NEW JERSEY,2018-69309,COX ARLEO,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43402.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69341,COX ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43389.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69429,ARLEO,HULSER,CORRUPTION,OM,O,43171.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69513,ARLEO,HULSER,DRUGS - ILLEGAL,WC,D,43182.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69533,ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43388.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69673,MARTINOTTI,HULSER,DRUGS - ILLEGAL,"AP,TX,WC",D,43388.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69695,MARTINOTTI,DAVID C. RYBICKI,DRUGS - ILLEGAL,"AP,TX,WC",D,43369.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69780,MARTINOTTI,DAVID C. RYBICKI,DRUGS - ILLEGAL,"AP,TX,WC",D,43354.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69871,COX ARLEO,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43185.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69879,WIGENTON,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43152.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69917,DE LA CARRERA,HEATHER HAUSLEBEN,RACKETEERING,"TX,WC",D,43391.0,20.0,1.0,50.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-69919,DE LA CARRERA,HEATHER HAUSLEBEN,RACKETEERING,"TX,WC",D,43391.0,20.0,1.0,50.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70024,COX ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43389.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70110,DE LA CARRERA,HEATHER HAUSELBEN,MURDER,"EO,WS",O,43291.0,1.0,0.0,1.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70218,ARLEO,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43402.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70243,WIGENTON,HULSER,NARCOTICS,WC,D,43139.0,4.0,0.0,4.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70258,CLARK,HEATHER HAUSELBEN,MURDER,"TX,WS",D,43391.0,20.0,1.0,50.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70310,SALAS,HULSER,MONEY LAUNDERING,"TX,WC",D,43117.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70315,COX ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43389.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70358,MARTINOTTI,SWARTZ,DRUGS - ILLEGAL,"AP,TX,WC",D,43270.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70374,COX ARLEO,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43388.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70383,COX ARLEO,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43402.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70388,VAZQUEZ,DOWNING,FRAUD,"TX,WC",D,43335.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70497,WIGENTON,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43152.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70695,MARTINOTTI,SWARTZ,DRUGS - ILLEGAL,"AP,TX,WC",D,43270.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-70737,ARLEO,HULSER,CORRUPTION,OM,O,43171.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71696,VAZQUEZ,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43259.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71704,WOLFSON,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43375.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71710,SALAS,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43220.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71711,SALAS,HULSER,MONEY LAUNDERING,"TX,WC",D,43117.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71712,SALAS,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43220.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71732,VAZQUEZ,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43361.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71790,VAZQUEZ,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43371.0,30.0,2.0,65.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71812,VAZQUEZ,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43361.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71851,VAZQUEZ,HULSER,DRUGS - ILLEGAL,AP,D,43370.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71888,NELSON,NA,NARCOTICS,"ED,EE,EF,TX",N,43111.0,20.0,3.0,80.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71890,VAZQUEZ,MATTHEW S. MINER,DRUGS - ILLEGAL,WC,D,43361.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71945,VAZQUEZ,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43374.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-71956,SALAS,HULSER,MONEY LAUNDERING,WC,D,43207.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72048,SALAS,HULSER,DRUGS - ILLEGAL,AP,N,43090.0,30.0,4.0,150.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72050,WOLFSON,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43318.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72096,SIMANDLE,HULSER,CONSPIRACY,"TX,WC",D,43304.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72097,SIMANDLE,ACTING DAAG DAVID C. RYBICKI,CONSPIRACY,WC,D,43265.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72098,SIMANDLE,HULSER,CONSPIRACY,WC,D,43304.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72099,SIMANDLE,HULSER,CONSPIRACY,"TX,WC",D,43304.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72100,SIMANDLE,DAAG DAVID C. RYBICKI,CONSPIRACY,"TX,WC",D,43328.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72101,SIMANDLE,DAAG MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43364.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72102,SIMANDLE,DAAG MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43364.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72103,SIMANDLE,DAAG MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43364.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72104,SIMANDLE,DAAG MATTHEW S. MINER,CONSPIRACY,"TX,WC",D,43364.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72115,WOLFSON,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43318.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72150,MCNULTY,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43294.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72151,MCNULTY,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43420.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72152,MCNULTRY,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43312.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72153,MCNULTY,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43343.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72154,MCNULTY,HULSER,NARCOTICS,"TX,WC",D,43286.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72155,MCNULTY,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43431.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72157,MCNULTY,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43431.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72159,MCNULTY,HULSER,DRUGS - ILLEGAL,"TX,WC",D,43343.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72164,MCNULTY,DAVID C. RYBICKI,DRUGS - ILLEGAL,"TX,WC",D,43420.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72170,MCNULTY,HULSER,NARCOTICS,"TX,WC",D,43286.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72173,MCNULTY,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43308.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72179,MCNULTY,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43308.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72182,MCNULTY,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43312.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72187,MCNULTY,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43417.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72192,MCNULTY,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43339.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72197,MCNULTY,DOWNING,DRUGS - ILLEGAL,"TX,WC",D,43315.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72199,MCNULTY,SWARTZ,DRUGS - ILLEGAL,"TX,WC",D,43308.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-72204,MCNULTY,MATTHEW S. MINER,DRUGS - ILLEGAL,"TX,WC",D,43417.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW JERSEY,2018-75095,LINARES,HULSER,NARCOTICS,WC,D,43076.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,100.0,60,"2,992",535,28521.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2018-75098,ARLEO,RYBICKI,NARCOTICS,TX,D,43067.0,30.0,1.0,60.0,INSTALLED AND USED,56.0,79.0,55,"4,396","1,935",25449.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2018-75102,SALAS,HULSER,NARCOTICS,WC,D,43206.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,80.0,45,"1,769",159,23571.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2018-75814,MCNULTY,SWARTZ,CONSPIRACY,WC,D,43308.0,30.0,2.0,90.0,INSTALLED AND USED,73.0,213.0,"12,056","15,549","2,891",229153.0,172646.0,18.0,0.0,0.0,0.0,0.0,0.0,,
NEW JERSEY,2018-75815,MCNULTY,SWARTZ,CONSPIRACY,WC,D,43308.0,30.0,0.0,30.0,INSTALLED AND USED,22.0,3.0,70,72,6,189645.0,172646.0,18.0,0.0,0.0,0.0,0.0,0.0,,
