Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related,Results Related
MARYLAND,2015-38,MESSITTE,,CONSPIRACY,WC,D,41928.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,10.0,18,604,600,48313.0,2215.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2014-27
MARYLAND,2015-39,MESSITTE,O'BRIEN,NARCOTICS,WC,D,42046.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,1,44,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-38,RELATED TO NO. 2014-27
MARYLAND,2015-40,HAZEL,,NARCOTICS,WC,D,42082.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,3,30,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-41,RELATED TO NO. 2015-41
MARYLAND,2015-41,HAZEL,,NARCOTICS,WC,D,42038.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,17.0,58,"1,608",1,3405.0,3405.0,19.0,0.0,0.0,0.0,0.0,19.0,,
MARYLAND,2015-42,MOTZ,,NARCOTICS,WC,D,42123.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,2.0,8,25,12,13045.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-58
MARYLAND,2015-44,HAZEL,,NARCOTICS,WC,"D,R",42131.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,9,110,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-41,RELATED TO NO. 2015-41
MARYLAND,2015-46,MOTZ,,NARCOTICS,"WC,TX",D,42109.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,118.0,65,"7,131","1,309",76410.0,1890.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-58
MARYLAND,2015-47,BREDAR,,NARCOTICS,WC,D,42167.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,0.0,0,0,0,13720.0,1300.0,6.0,0.0,0.0,0.0,0.0,1.0,,
MARYLAND,2015-50,BREDAR,,NARCOTICS,WC,D,42179.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,0.0,0,0,0,26140.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-47
MARYLAND,2015-52,BERDAR,,NARCOTICS,WC,D,42135.0,30.0,2.0,90.0,INSTALLED AND USED,62.0,150.0,5,"9,327","2,375",72890.0,2550.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-47
MARYLAND,2015-55,MOTZ,,NARCOTICS,"WC,TX",D,42146.0,30.0,2.0,90.0,INSTALLED AND USED,69.0,253.0,258,"17,464","1,978",100457.0,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-58
MARYLAND,2015-56,MOTZ,,NARCOTICS,TX,D,42205.0,30.0,0.0,30.0,INSTALLED AND USED,12.0,0.0,0,0,0,15549.0,645.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-58
MARYLAND,2015-58,MOTZ,,NARCOTICS,WC,D,42174.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,105.0,44,"4,411",249,53454.0,1290.0,2.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2015-59,MOTZ,,NARCOTICS,WC,D,42226.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,0.0,2,6,0,11803.0,625.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-58
MARYLAND,2015-61,GRIMM,O'BRIEN,RACKETEERING,WC,D,42191.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,7.0,10,455,408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2015-62,"RUSSELL, III.",O'BRIEN,CONSPIRACY,WC,D,42194.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,315.0,21,"18,935",37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-41,RELATED TO NO. 2015-41
MARYLAND,2015-63,BENNETT,O'BRIEN,RACKETEERING,WC,D,42146.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,17.0,76,"2,107",648,202383.0,17770.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2015-64,BENNETT,O'BRIEN,RACKETEERING,WC,D,42263.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,2,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2015-65,CHAUNG,,NARCOTICS,WC,D,42297.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,11.0,10,350,26,27170.0,1250.0,3.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2015-66,BENNETT,O'BRIEN,RACKETEERING,WC,D,42303.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,52.0,25,"1,580",904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2015-68,CHAUNG,,NARCOTICS,WC,D,42313.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,158.0,35,"4,600",208,27245.0,1000.0,5.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2015-70,BLAKE,,NARCOTICS,TX,D,42331.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,,,,,18388.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2015-73,BLAKE,,NARCOTICS,"WC,TX",D,42356.0,30.0,0.0,30.0,INSTALLED AND USED,7.0,,,,,9694.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-56,BENNETT,O'BRIEN,RACKETEERING,WC,D,42320.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,230.0,42,"13,855","6,978",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2016-57,BENNETT,O'BRIEN,RACKETEERING,WC,D,42361.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,74.0,19,"2,223",918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2016-58,MOTZ,,BRIBERY,WC,D,42272.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,28.0,323,"4,291","1,180",232337.0,25465.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-59,MOTZ,,BRIBERY,WC,D,42355.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-58,RELATED TO NO. 2016-58
MARYLAND,2016-60,BENNETT,O'BRIEN,RACKETEERING,WC,D,42401.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,33.0,21,"1,018",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2016-61,BLAKE,,NARCOTICS,"WC,TX",D,42425.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,,,,,23356.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-65
MARYLAND,2016-63,BREDAR,O'BRIEN,DRUGS - ILLEGAL,WC,D,42417.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,21.0,,654,272,,,,,,,,,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
MARYLAND,2016-65,BLAKE,,NARCOTICS,"WC,TX",D,42410.0,30.0,1.0,60.0,INSTALLED AND USED,44.0,,,,,56648.0,2000.0,9.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-66,BENNETT,O'BRIEN,RACKETEERING,WC,D,42410.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,115.0,55,"6,912",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2016-67,GRIMM,,BRIBERY,WC,D,42332.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,2.0,53,335,273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-50,RELATED TO NO. 2013-50
MARYLAND,2016-68,BENNETT,,NARCOTICS,"WC,TX",D,42450.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,73326.0,1290.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-71,BENNETT,,NARCOTICS,WC,D,42430.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,129.0,249,"7,525","1,885",89485.0,1935.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-72,BREDAR,O'BRIEN,DRUGS - ILLEGAL,WC,D,42452.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,202.0,,"6,062",866,,,,,,,,,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
MARYLAND,2016-73,BREDAR,O'BRIEN,DRUGS - ILLEGAL,WC,D,42452.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,26.0,,788,425,,,,,,,,,RELATED TO NO. 2016-74,RELATED TO NO. 2016-74
MARYLAND,2016-74,BREDAR,O'BRIEN,DRUGS - ILLEGAL,WC,D,42417.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,249.0,,"14,966","3,372",308358.0,142986.0,11.0,,,,,,,
MARYLAND,2016-76,BLAKE,,NARCOTICS,"WC,TX",D,42458.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,105344.0,3500.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2016-65
MARYLAND,2016-77,MESSITTE,,NARCOTICS,WC,D,42446.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,7.0,25,457,457,108204.0,3375.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-78,BENNETT,O'BRIEN,RACKETEERING,WC,D,42444.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,80.0,88,"4,839",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-63,RELATED TO NO. 2015-63
MARYLAND,2016-79,TITUS,O'BRIEN,NARCOTICS,WC,D,42542.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,61.0,34,"1,839",0,49313.0,3160.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-80,BENNETT,O'BRIEN,NARCOTICS,WC,D,42488.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,12.0,45,"1,169",526,43570.0,8660.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-81,MESSITTE,O'BRIEN,NARCOTICS,WC,D,42517.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,23.0,59,"1,384","1,384",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-77,RELATED TO NO. 2016-77
MARYLAND,2016-82,BENNETT,,NARCOTICS,"WC,TX",D,42509.0,30.0,2.0,90.0,INSTALLED AND USED,86.0,144.0,380,"12,443","1,629",215607.0,3225.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-83,BENNETT,,NARCOTICS,"WC,TX",D,42478.0,30.0,3.0,120.0,INSTALLED AND USED,116.0,112.0,537,"13,076","2,168",264026.0,11900.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-86,MESSITTE,O'BRIEN,NARCOTICS,WC,D,42580.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,26.0,23,796,796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-77,RELATED TO NO. 2016-77
MARYLAND,2016-87,TITUS,,NARCOTICS,WC,D,42592.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,69.0,"6,800","4,179","1,442",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2016-79,RELATED TO NO. 2016-79
MARYLAND,2016-88,TITUS,DOWNING,DRUGS - ILLEGAL,WC,D,42641.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,47.0,45,"1,417",17,99761.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-89,TITUS,DOWNING,DRUGS - ILLEGAL,"WC,TX",D,42641.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,3.0,10,104,11,99761.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MARYLAND,2016-90,HONG,,DRUGS - ILLEGAL,WC,D,42508.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-92,HONG,,DRUGS - ILLEGAL,WC,D,42573.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-93,BENNETT,O'BRIEN,CONSPIRACY,"WC,TX","D,O",42488.0,30.0,3.0,120.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-94,HONG,,DRUGS - ILLEGAL,WC,D,42534.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-95,BENNETT,O'BRIEN,CONSPIRACY,"WC,TX",D,42437.0,30.0,2.0,90.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-96,HONG,,DRUGS - ILLEGAL,WC,D,42559.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-97,BENNETT,O'BRIEN,CONSPIRACY,"WC,OM,TX","D,H",42431.0,30.0,6.0,210.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-98,MCCRONE,,MURDER,WC,D,42376.0,27.0,0.0,27.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-99,MCCRONE,,MURDER,WC,D,42376.0,27.0,0.0,27.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-100,BREDAR,SUH,CONSPIRACY,WC,D,42702.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-101,HONG,,DRUGS - ILLEGAL,WC,D,42508.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
MARYLAND,2016-102,MCCRONE,,DRUGS - ILLEGAL,WC,D,42373.0,30.0,0.0,30.0,NO PROSECUTOR REPORT,,,,,,,,,,,,,,,
"MARYLAND, SOUTHERN",2012-1,CHASANOW,,NARCOTICS,TX,D,40960.0,30.0,0.0,30.0,INSTALLED AND USED,4.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2012-54,CASPER,,NARCOTICS,WC,D,40928.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,7.0,36,227,115,21178.0,2300.0,11.0,0.0,0.0,1.0,0.0,11.0,,
MASSACHUSETTS,2012-55,O'TOOLE,,NARCOTICS,"WC,TX",D,40954.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,38860.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2012-57,CASPER,,NARCOTICS,"WC,TX",D,40948.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,13.0,64,761,496,95962.0,22200.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2012-54
MASSACHUSETTS,2012-60,O'TOOLE,,NARCOTICS,"WC,TX",D,41078.0,30.0,0.0,30.0,INSTALLED AND USED,19.0,0.0,0,0,0,37507.0,3200.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2012-61,TAURO,,NARCOTICS,"WC,TX",D,41191.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,,,,,39724.0,1450.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2013-58,O'TOOLE,,NARCOTICS,"WC,TX",D,41299.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,15.0,34,251,162,9680.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-60
MASSACHUSETTS,2013-60,"SAYLOR, IV.",,NARCOTICS,"WC,TX",D,41318.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,312.0,361,"9,056","1,958",40400.0,2000.0,16.0,1.0,0.0,1.0,1.0,15.0,,
MASSACHUSETTS,2013-62,O'TOOLE,,NARCOTICS,"WC,TX",D,41359.0,30.0,1.0,60.0,INSTALLED AND USED,43.0,94.0,129,"4,057","2,086",56806.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-60
MASSACHUSETTS,2013-65,"SAYLOR, IV.",,NARCOTICS,"WC,TX",D,41397.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,,,,,12433.0,962.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2013-66,ZOBEL,,NARCOTICS,"WC,TX",D,41450.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,,,,,26973.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-71
MASSACHUSETTS,2013-69,ZOBEL,,NARCOTICS,"WC,TX",D,41484.0,30.0,0.0,30.0,INSTALLED AND USED,16.0,,,,,14291.0,2360.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2013-71
MASSACHUSETTS,2013-71,ZOBEL,,NARCOTICS,"WC,TX",D,41432.0,30.0,2.0,90.0,INSTALLED AND USED,64.0,,,,,86308.0,6820.0,24.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2014-45,SARIS,,NARCOTICS,"WC,TX,AP",D,41579.0,30.0,2.0,90.0,INSTALLED AND USED,82.0,207.0,281,"17,032","2,767",84481.0,3674.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2014-47,CASPER,,NARCOTICS,TX,D,41709.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,,,,,17447.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2014-49,CASPER,BLANCO,$LAUNDERING,"AP,EO",-99,41733.0,30.0,1.0,60.0,INSTALLED AND USED,51.0,19.0,17,"1,006",892,890103.0,25950.0,,,,,,,RELATED TO NO. 2014-56,RELATED TO NO. 2014-56
MASSACHUSETTS,2014-50,HILLMAN,,NARCOTICS,"WC,TX",D,41802.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,103.0,20,"1,141",378,11512.0,2000.0,3.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2014-52,CASPER,BLANCO,$LAUNDERING,"WC,WO",D,41698.0,30.0,3.0,120.0,INSTALLED AND USED,120.0,14.0,153,"1,791",328,890103.0,25950.0,,,,,,,RELATED TO NO. 2014-56,RELATED TO NO. 2014-56
MASSACHUSETTS,2014-53,CASPER,BLANCO,$LAUNDERING,"WC,WO",D,41743.0,30.0,2.0,90.0,INSTALLED AND USED,90.0,10.0,26,935,219,890103.0,25950.0,,,,,,,RELATED TO NO. 2014-56,RELATED TO NO. 2014-56
MASSACHUSETTS,2014-54,WOODLOCK,,NARCOTICS,"WC,TX",D,41808.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,184.0,84,"5,360","2,496",36668.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2014-56,CASPER,BLANCO,$LAUNDERING,"WC,WO",D,41698.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,7.0,150,"1,068",147,890103.0,25950.0,38.0,,,,,2.0,,
MASSACHUSETTS,2014-57,CASPER,BLANCO,$LAUNDERING,"WC,WO",D,41698.0,30.0,4.0,150.0,INSTALLED AND USED,150.0,7.0,150,"1,068",147,890103.0,25950.0,38.0,,,,,2.0,,
MASSACHUSETTS,2014-58,STEARNS,,NARCOTICS,"WC,TX",D,41843.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,96.0,20,"2,885",295,18349.0,615.0,7.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2014-60,CASPER,BLANCO,$LAUNDERING,EE,B,41841.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,43.0,134,"1,127",260,890103.0,25950.0,,,,,,,RELATED TO NO. 2014-56,RELATED TO NO. 2014-56
MASSACHUSETTS,2014-62,WOODLOCK,,NARCOTICS,"WC,TX",D,41871.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,213.0,107,"12,801","5,725",53407.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2014-63,WOODLOCK,,NARCOTICS,"WC,TX",D,41953.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,34.0,78,990,454,26856.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2014-65,SARIS,BLANCO,NARCOTICS,WC,D,41914.0,30.0,3.0,90.0,INSTALLED AND USED,88.0,28.0,81,"2,495",267,,,10.0,0.0,,,,8.0,RELATED TO NO. 2014-66,RELATED TO NO. 2014-66
MASSACHUSETTS,2014-66,SARIS,BLANCO,NARCOTICS,WC,D,41885.0,30.0,3.0,120.0,INSTALLED AND USED,118.0,26.0,70,"3,175",142,620279.0,356081.0,10.0,0.0,,,,8.0,,
MASSACHUSETTS,2014-134,SARIS,BLANCO,NARCOTICS,WO,D,41969.0,30.0,0.0,30.0,NEVER INSTALLED,,,,,,,,,,,,,,,
MASSACHUSETTS,2015-72,SARIS,BLANCO,NARCOTICS,WC,D,42024.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,264.0,84,"2,643",481,620279.0,356081.0,10.0,0.0,,,,8.0,RELATED TO NO. 2014-66,RELATED TO NO. 2014-66
MASSACHUSETTS,2015-74,SARIS,,NARCOTICS,"WC,TX",D,42024.0,30.0,0.0,30.0,INSTALLED AND USED,21.0,,,,,19252.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-75
MASSACHUSETTS,2015-75,SARIS,,NARCOTICS,"WC,TX",D,42055.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,,,,,27079.0,650.0,27.0,0.0,0.0,0.0,0.0,1.0,,
MASSACHUSETTS,2015-78,WOODLOCK,,NARCOTICS,WC,D,42038.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,30.0,59,"1,821",492,54253.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2015-80,SARIS,,NARCOTICS,"WC,TX",D,42145.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,46.0,38,"1,390",356,28274.0,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-85
MASSACHUSETTS,2015-81,SARIS,,EXTORTION,"WC,OM","D,B",42123.0,30.0,1.0,60.0,INSTALLED AND USED,37.0,1085.0,21,"40,180","19,739",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-93,RELATED TO NO. 2013-93
MASSACHUSETTS,2015-82,SARIS,BLANCO,NARCOTICS,WC,D,42163.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,91.0,53,"2,652",392,,,10.0,0.0,,,,8.0,RELATED TO NO. 2014-66,RELATED TO NO. 2014-66
MASSACHUSETTS,2015-83,SARIS,BLANCO,NARCOTICS,WC,D,42163.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,69.0,43,"2,010",185,,,10.0,0.0,,,,8.0,RELATED TO NO. 2014-66,RELATED TO NO. 2014-66
MASSACHUSETTS,2015-85,WOODLOCK,,NARCOTICS,"WC,TX",D,42178.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,171.0,54,"3,095",967,28274.0,1700.0,5.0,0.0,0.0,3.0,0.0,3.0,,
MASSACHUSETTS,2015-86,SARIS,,NARCOTICS,"WC,TX",D,42104.0,30.0,1.0,60.0,INSTALLED AND USED,60.0,125.0,76,"7,552","3,891",75770.0,1250.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-87
MASSACHUSETTS,2015-87,SARIS,,NARCOTICS,"WC,TX",D,42171.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,345.0,113,"10,352","5,305",90838.0,3050.0,11.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2015-89,WOODLOCK,,NARCOTICS,"WC,TX",D,42163.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,39.0,54,"1,198",306,28174.0,1600.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2015-94,HILLMAN,,NARCOTICS,WC,D,42180.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,2,2,2,8785.0,1560.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-95
MASSACHUSETTS,2015-95,HILLMAN,,NARCOTICS,WC,D,42116.0,30.0,2.0,90.0,INSTALLED AND USED,88.0,43.0,71,"3,851","1,572",83227.0,3650.0,6.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2015-96,SARIS,O'BRIEN,EXTORTION,"WC,OM","D,B",42184.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1339.0,44,"40,180","19,739",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2013-93,RELATED TO NO. 2013-93
MASSACHUSETTS,2015-98,SARIS,,NARCOTICS,"WC,TX",D,42103.0,30.0,2.0,90.0,INSTALLED AND USED,69.0,0.0,0,0,0,91010.0,3650.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-75
MASSACHUSETTS,2015-99,GORTON,,NARCOTICS,WC,D,42216.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,236.0,52,"7,100","6,755",177713.0,9397.0,11.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2015-100,STEARNS,,NARCOTICS,WC,D,42241.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,277.0,26,"8,323",0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RELATED TO NO. 2015-99,RELATED TO NO. 2015-99
MASSACHUSETTS,2015-101,WOODLOCK,,NARCOTICS,WC,D,42251.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,84.0,45,"2,523",64,27079.0,650.0,0.0,0.0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2015-104
MASSACHUSETTS,2015-104,WOODLOCK,,NARCOTICS,"WC,TX",D,41920.0,30.0,5.0,180.0,INSTALLED AND USED,179.0,51.0,226,"9,300","6,300",162646.0,3900.0,25.0,0.0,0.0,0.0,0.0,0.0,,
MASSACHUSETTS,2015-106,"SAYLOR, IV.",,NARCOTICS,"WC,TX",D,42265.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,14,49,4,37885.0,625.0,9.0,0.0,0.0,0.0,0.0,0.0,,
