"Wiretap Table B-1. State Courts
Report of Court-Authorized Intercepts of Wire, Oral, or Electronic Communications Pursuant to 18 U.S.C. 2519
NEW YORK,NEW YORK,2017-71473,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42941.0,30.0,0.0,30.0,INSTALLED AND USED,9.0,1.0,0,12,10,0,0,4.0,0,0.0,0.0,0.0,2.0,RELATED TO NO. 2017-71478,RELATED TO NO. 2017-71478
NEW YORK,NEW YORK,2017-71474,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42912.0,30.0,1.0,60.0,INSTALLED AND USED,39.0,5.0,8,196,71,0,0,4.0,0,0.0,0.0,0.0,2.0,RELATED TO NO. 2017-71478,RELATED TO NO. 2017-71478
NEW YORK,NEW YORK,2017-71476,BIBEN,"VANCE, JR.",NARCOTICS,"TX,WC",D,42880.0,30.0,1.0,60.0,INSTALLED AND USED,41.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,RELATED TO NO. 2017-71478,RELATED TO NO. 2017-71478
NEW YORK,NEW YORK,2017-71478,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42860.0,30.0,1.0,60.0,INSTALLED AND USED,41.0,2.0,11,70,32,0,1320.0,5.0,0,0.0,0.0,0.0,4.0,,
NEW YORK,NEW YORK,2017-71479,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,43047.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,74,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71480,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42944.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,0,0,0,278,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71482,CLOTT,SACHS,NARCOTICS,"TX,WC",D,42972.0,30.0,2.0,90.0,INSTALLED AND USED,58.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71483,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,43033.0,30.0,1.0,60.0,INSTALLED AND USED,53.0,0,0,0,351,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71485,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42794.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,2.0,24,66,4,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71486,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,43035.0,30.0,0.0,30.0,INSTALLED AND USED,27.0,9.0,11,244,179,0,3165.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71487,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,43060.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,16.0,9,466,298,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71488,CLOTT,"VANCE, JR.",NARCOTICS,"EO,WC",D,42948.0,30.0,1.0,60.0,INSTALLED AND USED,48.0,0.0,1,17,17,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71489,CLOTT,SACHS,NARCOTICS,"EO,WC",D,42971.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,2,6,6,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71491,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,42971.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,8.0,28,230,51,0,2020.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71495,SONBERG,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42797.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71551
NEW YORK,NEW YORK,2017-71496,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42825.0,30.0,1.0,60.0,INSTALLED AND USED,33.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71551
NEW YORK,NEW YORK,2017-71497,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42853.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71551
NEW YORK,NEW YORK,2017-71498,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42860.0,30.0,1.0,60.0,INSTALLED AND USED,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71551
NEW YORK,NEW YORK,2017-71499,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42916.0,30.0,3.0,120.0,INSTALLED AND USED,101.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71500,SONBERG,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42783.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,0,113,0,549,32958.0,4000.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71503
NEW YORK,NEW YORK,2017-71501,SONBERG,"VANCE, JR.",NARCOTICS,"TX,WC",D,42783.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,38.0,26,760,58,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71503,SONBERG,"VANCE, JR.",NARCOTICS,"TX,WC",D,42811.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,5.0,18,153,9,30958.0,2000.0,1.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-71504,CLOTT,MCMAHON,NARCOTICS,"TX,WC",D,42940.0,30.0,4.0,150.0,INSTALLED AND USED,135.0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71505,CLOTT,MCMAHON,NARCOTICS,"TX,WC",D,42998.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0,0,0,277,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71506,CLOTT,MCMAHON,NARCOTICS,"TX,WC",D,43027.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0,0,0,20,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71507,BIBEN,GONZALEZ,NARCOTICS,"TX,WC",D,42719.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,12.0,71,695,286,0,53947.0,1.0,0.0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71508,CLOTT,CLARK,NARCOTICS,"TX,WC",D,42956.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,0,48,0,0,0,72077.0,0,0.0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71509,CLOTT,CLARK,NARCOTICS,"TX,WC",D,42977.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,30,0,798,0,0,0,0.0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71511,BIBEN,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42762.0,30.0,1.0,60.0,INSTALLED AND USED,35.0,2.0,11,79,76,0,116225.0,1.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-71513,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42839.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,33.0,18,937,704,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71516,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42873.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,1.0,2,21,9,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71517,SONBERG,"VANCE, JR.",NARCOTICS,"EO,WC",D,42725.0,30.0,3.0,120.0,INSTALLED AND USED,102.0,0,5,0,597,4052.0,4052.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71503
NEW YORK,NEW YORK,2017-71519,SONBERG,"VANCE, JR.",NARCOTICS,"TX,WC",D,42725.0,30.0,2.0,90.0,INSTALLED AND USED,89.0,0,111,0,438,89544.0,2200.0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71503
NEW YORK,NEW YORK,2017-71521,SONBERG,"VANCE, JR.",NARCOTICS,"TX,WC",D,42831.0,30.0,1.0,60.0,INSTALLED AND USED,36.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71525,SONBERG,"VANCE, JR.",NARCOTICS,"TX,WC",D,42860.0,30.0,4.0,150.0,INSTALLED AND USED,118.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71527,CLOTT,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42888.0,30.0,2.0,90.0,INSTALLED AND USED,82.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71529,CLOTT,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42916.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71539,ROSS,DUNNE,NARCOTICS,"TX,WC",D,42970.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-71541,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,43035.0,30.0,1.0,60.0,INSTALLED AND USED,22.0,0.0,3,5,0,0,2717.0,0.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-71542,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,43042.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,31.0,13,438,59,0,0,0,0,0.0,0.0,0.0,0,RELATED TO NO. 2017-71541,RELATED TO NO. 2017-71541
NEW YORK,NEW YORK,2017-71543,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42927.0,30.0,2.0,90.0,INSTALLED AND USED,81.0,0,0,0,0,0,0,7.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71544,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,42954.0,30.0,1.0,60.0,INSTALLED AND USED,36.0,10.0,5,362,79,0,0,7.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71545,ROSS,BROWN,NARCOTICS,"TX,WC",D,42913.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,0,160,0,273,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71548,ROSS,BROWN,NARCOTICS,"TX,WC",D,42971.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,0,65,0,718,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71549,ROSS,BROWN,NARCOTICS,"TX,WC",D,43028.0,30.0,0.0,30.0,NEVER INSTALLED,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,NEW YORK,2017-71550,CLOTT,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42944.0,30.0,1.0,60.0,INSTALLED AND USED,43.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71551,BIBEN,"VANCE, JR.",NARCOTICS,"TX,WC",D,42724.0,30.0,2.0,90.0,INSTALLED AND USED,43.0,0,0,0,0,0,0,9.0,0,0.0,0.0,0.0,5.0,,
NEW YORK,NEW YORK,2017-71553,CLOTT,SACHS,NARCOTICS,"TX,WC",D,42972.0,30.0,2.0,90.0,INSTALLED AND USED,74.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71555,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,42998.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71556,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,43027.0,30.0,0.0,30.0,INSTALLED AND USED,13.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71558,CLOTT,"VANCE, JR.",NARCOTICS,"TX,WC",D,43055.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,2.0,,
NEW YORK,NEW YORK,2017-71562,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42899.0,30.0,5.0,180.0,INSTALLED AND USED,137.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71563,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,42993.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71564,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42937.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71565,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,42964.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71566,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,43045.0,30.0,0.0,30.0,INSTALLED AND USED,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71567,ELLEN,"VANCE, JR.",NARCOTICS,"TX,WC",D,42720.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,0.0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71569,ELLEN,"VANCE, JR.",NARCOTICS,"TX,WC",D,42745.0,30.0,0.0,30.0,INSTALLED AND USED,10.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71570,ELLEN,"VANCE, JR.",NARCOTICS,"TX,WC",D,42754.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,0,63,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71572,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42772.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,10.0,12,288,68,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71574,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42788.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,17.0,28,996,770,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71576,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42838.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,21.0,33,595,163,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71578,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42815.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,5.0,18,150,131,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71579,CLOTT,BROWN,NARCOTICS,"TX,WC",D,42944.0,30.0,5.0,180.0,INSTALLED AND USED,125.0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71582,CLOTT,BROWN,NARCOTICS,"TX,WC",D,42972.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71583,MCGRATH,BROWN,NARCOTICS,"TX,WC",D,43000.0,30.0,2.0,90.0,INSTALLED AND USED,55.0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71584,CLOTT,BROWN,NARCOTICS,"TX,WC",D,43074.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,0,0,0,0,0,0,3.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71590,CLOTT,GONZALEZ,NARCOTICS,"TX,WC",D,42720.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71592,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42782.0,30.0,0.0,30.0,INSTALLED AND USED,15.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71593,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42797.0,30.0,3.0,120.0,INSTALLED AND USED,114.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71594,ROSS,"FRAZER, JR.",NARCOTICS,"TX,WC",D,42825.0,30.0,2.0,90.0,INSTALLED AND USED,114.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,RELATED TO NO. 2017-71596
NEW YORK,NEW YORK,2017-71595,ROSS,GONZALEZ,NARCOTICS,"TX,WC",D,42853.0,30.0,3.0,120.0,INSTALLED AND USED,112.0,0,0,0,0,0,0,19.0,0,0.0,0.0,0.0,1.0,,
NEW YORK,NEW YORK,2017-71596,BIBEN,GONZALEZ,NARCOTICS,"TX,WC",D,42880.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NEW YORK,2017-71599,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,43077.0,30.0,1.0,60.0,INSTALLED AND USED,23.0,3.0,0,74,33,0,0,4.0,0,0.0,0.0,0.0,2.0,RELATED TO NO. 2017-71478,RELATED TO NO. 2017-71478
NEW YORK,NEW YORK,2017-71600,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42935.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0,222,0,992,0,0,2.0,0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-71601
NEW YORK,NEW YORK,2017-71601,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,"TX,WC",D,42916.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,5.0,19,155,79,0,0,2.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-71602,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,42968.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,0,283,0,0,0,0,2.0,0,0.0,0.0,0.0,0.0,,RELATED TO NO. 2017-71601
NEW YORK,NEW YORK,2017-71603,ROSS,"VANCE, JR.",NARCOTICS,"TX,WC",D,43025.0,30.0,0.0,30.0,INSTALLED AND USED,18.0,0,0,0,0,0,0,5.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NEW YORK,2017-72126,ROSS,"VANCE, JR.",LARCENY,"TX,WC",D,42930.0,30.0,1.0,60.0,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2017-76373,CLOTT,BROWN,NARCOTICS,WC,D,43012.0,30.0,3.0,120.0,INSTALLED AND USED,86.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2017-76374,CLOTT,BROWN,NARCOTICS,WC,D,43070.0,30.0,0.0,30.0,INSTALLED AND USED,20.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2017-76375,CLOTT,BROWN,NARCOTICS,WC,D,43042.0,30.0,2.0,90.0,INSTALLED AND USED,57.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2017-76376,CLOTT,BROWN,NARCOTICS,WC,D,43042.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76249,ROSS,GONZALEZ,NARCOTICS,WC,D,43251.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,111.0,343,"4,666",74,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76250,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43244.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,32.0,23,"1,870","1,032",0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76251,CLOTT,GONZALEZ,NARCOTICS,WC,D,43378.0,30.0,0.0,30.0,INSTALLED AND USED,28.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76252,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43273.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,5.0,5,149,80,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76253,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43250.0,30.0,5.0,180.0,INSTALLED AND USED,150.0,0.0,0,0,0,0,0,4.0,0,0.0,0.0,0.0,0.0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76254,ROSS,CLARK,NARCOTICS,WC,D,43181.0,30.0,0.0,30.0,INSTALLED AND USED,26.0,30.0,38,772,56,0,34659.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76255,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43273.0,30.0,1.0,60.0,INSTALLED AND USED,55.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76256,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43140.0,30.0,1.0,60.0,INSTALLED AND USED,58.0,131.0,92,"7,577",871,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76257,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43301.0,30.0,1.0,60.0,INSTALLED AND USED,56.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76258,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43217.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,0,13582.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76259,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43357.0,30.0,0.0,30.0,INSTALLED AND USED,14.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76260,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43269.0,30.0,1.0,60.0,INSTALLED AND USED,59.0,0.0,0,0,0,0,54273.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76261,ROSS,FRIEDMAN-AGNIFILO,NARCOTICS,WC,D,43371.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76262,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43200.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0,40294.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76263,CLOTT,CAPOFARI,NARCOTICS,WC,D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,833.0,0,"24,159",333,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76264,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43200.0,30.0,0.0,30.0,INSTALLED AND USED,30.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76265,CLOTT,CAPOFARI,NARCOTICS,WC,D,43112.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,368.0,0,"10,665",201,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76266,CLOTT,GONZALEZ,NARCOTICS,WC,D,43230.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,356.0,71,"2,851",928,0,5726.0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76267,CLOTT,MCMAHON,NARCOTICS,WC,D,42969.0,30.0,5.0,180.0,INSTALLED AND USED,173.0,173.0,0,"29,895",375,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76268,CLOTT,GONZALEZ,NARCOTICS,WC,D,43230.0,30.0,0.0,30.0,INSTALLED AND USED,8.0,878.0,86,"7,024","2,883",0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76269,CLOTT,MCMAHON,NARCOTICS,WC,D,43027.0,30.0,2.0,90.0,INSTALLED AND USED,79.0,715.0,0,"56,453",564,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76270,CLOTT,GONZALEZ,NARCOTICS,WC,D,43060.0,30.0,1.0,60.0,INSTALLED AND USED,42.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76271,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43305.0,30.0,2.0,90.0,INSTALLED AND USED,87.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76272,CLOTT,GONZALEZ,NARCOTICS,WC,D,43076.0,30.0,1.0,60.0,INSTALLED AND USED,35.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76273,CLOTT,"VANCE, JR.",NARCOTICS,WC,D,43273.0,30.0,2.0,90.0,INSTALLED AND USED,88.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76274,CLOTT,GONZALEZ,NARCOTICS,WC,D,43102.0,30.0,0.0,30.0,INSTALLED AND USED,29.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
NEW YORK,NYC SPECIAL NARCOTICS BUREAU,2018-76275,ROSS,"VANCE, JR.",NARCOTICS,WC,D,43392.0,30.0,0.0,30.0,INSTALLED AND USED,25.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,,
